Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
145607.614 02 4.708
145607.614 03 0.304
145607.694 01 0.828
145607.694 02 4.708
145607.694 03 0.304
145607.775 01 0.828
145607.775 02 4.708
145607.775 03 0.304
145607.855 01 0.828
145607.855 02 4.280
145607.855 03 0.304
145607.935 01 0.825
145607.935 02 4.708
145607.935 03 0.304
145608.015 01 0.828
145608.015 02 5.136
145608.015 03 0.304
145608.095 01 0.828
145608.095 02 5.136
145608.095 03 0.304
145608.175 01 0.825
145608.175 02 4.708
145608.175 03 0.304
145608.256 01 0.828
145608.256 02 4.280
145608.256 03 0.304
145608.336 01 0.828
145608.336 02 4.280
145608.336 03 0.304
145608.416 01 0.828
145608.416 02 4.280
145608.416 03 0.304
145608.497 01 0.828
145608.497 02 4.708
145608.497 03 0.304
145608.577 01 0.828
145608.577 02 4.280
145608.577 03 0.304
145608.657 01 0.825
145608.658 02 4.280
145608.658 03 0.304
145608.738 01 0.828
145608.738 02 4.708
145608.738 03 0.304
145608.817 01 0.828
145608.817 02 4.708
145608.817 03 0.304
145608.897 01 0.828
145608.898 02 3.852
145608.898 03 0.304
145608.977 01 0.828
145608.977 02 4.280
145608.977 03 0.304
145609.057 01 0.828
145609.057 02 4.708
145609.057 03 0.304
145609.137 01 0.828
145609.138 02 3.852
145609.138 03 0.304
145609.218 01 0.828
145609.218 02 4.280
145609.218 03 0.304
145609.298 01 0.828
145609.298 02 3.852
145609.298 03 0.304
145609.378 01 0.828
145609.379 02 4.708
145609.379 03 0.304
145609.459 01 0.828
145609.459 02 4.280
145609.459 03 0.304
145609.539 01 0.828
145609.539 02 5.136
145609.539 03 0.304
145609.620 01 0.828
145609.620 02 4.280
145609.620 03 0.304
145609.700 01 0.828
145609.700 02 4.708
145609.700 03 0.304
145609.780 01 0.828
145609.780 02 4.280
145609.780 03 0.304
145609.860 01 0.828
145609.860 02 4.280
145609.860 03 0.304
145609.941 01 0.828
145609.941 02 3.852
145609.941 03 0.304
145610.021 01 0.828
145610.021 02 4.280
145610.021 03 0.304
145610.101 01 0.828
145610.101 02 3.852
145610.101 03 0.304
145610.182 01 0.828
145610.182 02 3.852
145610.182 03 0.304
145610.261 01 0.828
145610.261 02 4.708
145610.261 03 0.304
145610.342 01 0.828
145610.342 02 4.280
145610.342 03 0.152
145610.421 01 0.828
145610.421 02 4.280
145610.421 03 0.304
145610.501 01 0.828
145610.501 02 4.280
145610.501 03 0.304
145610.582 01 0.828
145610.582 02 3.852
145610.582 03 0.304
145610.662 01 0.828
145610.662 02 3.852
145610.662 03 0.304
145610.742 01 0.828
145610.742 02 4.708
145610.742 03 0.304
145610.823 01 0.828
145610.823 02 4.280
145610.823 03 0.304
145610.902 01 0.828
145610.902 02 4.280
145610.902 03 0.304
145610.982 01 0.828
145610.982 02 4.280
145610.982 03 0.304
145611.062 01 0.828
145611.062 02 3.852
145611.062 03 0.304
145611.143 01 0.828
145611.143 02 4.280
145611.143 03 0.304
145611.223 01 0.825
145611.223 02 4.280
145611.223 03 0.304
145611.304 01 0.828
145611.304 02 4.280
145611.304 03 0.304
145611.383 01 0.828
145611.383 02 4.280
145611.383 03 0.304
145611.463 01 0.828
145611.463 02 4.708
145611.463 03 0.304
145611.544 01 0.828
145611.544 02 4.280
145611.544 03 0.304
145611.623 01 0.828
145611.623 02 4.280
145611.623 03 0.304
145611.703 01 0.828
145611.703 02 3.852
145611.703 03 0.304
145611.784 01 0.828
145611.784 02 3.852
145611.784 03 0.304
145611.864 01 0.828
145611.864 02 3.852
145611.864 03 0.304
145611.943 01 0.828
145611.943 02 4.280
145611.943 03 0.304
145612.023 01 0.828
145612.023 02 3.424
145612.023 03 0.304
145612.104 01 0.828
145612.104 02 4.708
145612.104 03 0.304
145612.184 01 0.825
145612.184 02 3.852
145612.184 03 0.304
145612.265 01 0.825
145612.265 02 4.280
145612.265 03 0.304
145612.345 01 0.828
145612.345 02 4.280
145612.345 03 0.304
145612.426 01 0.828
145612.426 02 4.280
145612.426 03 0.304
145612.505 01 0.828
145612.505 02 4.280
145612.505 03 0.304
145612.585 01 0.828
145612.586 02 3.852
145612.586 03 0.304
145612.665 01 0.828
145612.665 02 4.280
145612.666 03 0.304
145612.746 01 0.828
145612.746 02 3.852
145612.746 03 0.304
145612.826 01 0.828
145612.826 02 4.280
145612.826 03 0.304
145612.907 01 0.825
145612.907 02 3.852
145612.907 03 0.304
145612.987 01 0.828
145612.987 02 4.280
145612.987 03 0.304
145613.068 01 0.828
145613.068 02 3.852
145613.068 03 0.304
145613.148 01 0.828
145613.148 02 3.424
145613.148 03 0.304
145613.228 01 0.828
145613.228 02 3.852
145613.228 03 0.304
145613.308 01 0.825
145613.308 02 3.852
145613.308 03 0.304
145613.389 01 0.828
145613.389 02 3.852
145613.389 03 0.304
145613.469 01 0.828
145613.469 02 3.424
145613.469 03 0.304
145613.549 01 0.825
145613.549 02 3.852
145613.549 03 0.304
145613.630 01 0.828
145613.630 02 3.852
145613.630 03 0.304
145613.710 01 0.828
145613.710 02 3.852
145613.710 03 0.304
145613.791 01 0.825
145613.791 02 3.852
145613.791 03 0.304
145613.870 01 0.828
145613.870 02 3.424
145613.870 03 0.304
145613.950 01 0.828
145613.950 02 3.424
145613.950 03 0.304
145614.030 01 0.828
145614.031 02 3.852
145614.031 03 0.304
145614.110 01 0.828
145614.111 02 4.280
145614.111 03 0.304
145614.191 01 0.828
145614.191 02 3.424
145614.191 03 0.304
145614.271 01 0.828
145614.271 02 2.996
145614.271 03 0.304
145614.352 01 0.828
145614.352 02 3.852
145614.352 03 0.304
145614.431 01 0.828
145614.432 02 3.852
145614.432 03 0.304
145614.512 01 0.828
145614.512 02 3.852
145614.512 03 0.304
145614.592 01 0.828
145614.592 02 3.852
145614.592 03 0.304
145614.672 01 0.828
145614.672 02 3.424
145614.673 03 0.304
145614.753 01 0.825
145614.753 02 3.852
145614.753 03 0.304
145614.833 01 0.828
145614.833 02 3.852
145614.833 03 0.304
145614.913 01 0.828
145614.913 02 2.996
145614.914 03 0.304
145614.994 01 0.828
145614.994 02 3.424
145614.994 03 0.304
145615.074 01 0.828
145615.074 02 4.280
145615.074 03 0.304
145615.155 01 0.828
145615.155 02 3.424
145615.155 03 0.304
145615.234 01 0.828
145615.234 02 4.280
145615.234 03 0.304
145615.314 01 0.828
145615.314 02 2.996
145615.314 03 0.304
145615.394 01 0.828
145615.394 02 3.852
145615.394 03 0.304
145615.475 01 0.828
145615.475 02 3.852
145615.475 03 0.304
145615.555 01 0.828
145615.555 02 3.852
145615.555 03 0.304
145615.636 01 0.828
145615.636 02 3.852
145615.636 03 0.304
145615.715 01 0.828
145615.715 02 4.280
145615.715 03 0.304
145615.795 01 0.828
145615.795 02 3.852
145615.795 03 0.304
145615.876 01 0.828
145615.876 02 3.852
145615.876 03 0.304
145615.957 01 0.828
145615.957 02 3.424
145615.957 03 0.304
145616.036 01 0.828
145616.037 02 3.852
145616.037 03 0.304
145616.116 01 0.828
145616.117 02 3.424
145616.117 03 0.304
145616.197 01 0.828
145616.197 02 3.424
145616.197 03 0.304
145616.277 01 0.828
145616.277 02 3.424
145616.277 03 0.304
145616.357 01 0.828
145616.357 02 3.852
145616.357 03 0.304
145616.437 01 0.828
145616.437 02 2.996
145616.437 03 0.304
145616.518 01 0.828
145616.518 02 2.996
145616.518 03 0.304
145616.598 01 0.828
145616.598 02 3.424
145616.598 03 0.304
145616.678 01 0.828
145616.679 02 3.424
145616.679 03 0.304
145616.758 01 0.828
145616.759 02 2.996
145616.759 03 0.304
145616.839 01 0.828
145616.839 02 3.424
145616.839 03 0.304
145616.919 01 0.828
145616.919 02 3.852
145616.919 03 0.304
145617.000 01 0.828
