Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
130607.495 03 0.000
130607.573 01 1.065
130607.573 02 2.996
130607.573 03 -0.152
130607.654 01 1.065
130607.654 02 5.136
130607.654 03 0.152
130607.737 01 1.065
130607.737 02 5.564
130607.737 03 0.152
130607.814 01 1.065
130607.814 02 5.564
130607.814 03 0.000
130607.895 01 1.065
130607.895 02 5.136
130607.895 03 0.000
130607.974 01 1.065
130607.974 02 5.136
130607.975 03 -0.152
130608.055 01 1.065
130608.055 02 5.136
130608.055 03 0.000
130608.135 01 1.065
130608.135 02 4.708
130608.135 03 0.000
130608.215 01 1.065
130608.215 02 3.852
130608.215 03 0.000
130608.295 01 1.065
130608.295 02 3.424
130608.295 03 0.152
130608.375 01 1.065
130608.375 02 3.852
130608.375 03 0.000
130608.455 01 1.065
130608.455 02 4.280
130608.455 03 0.000
130608.535 01 1.065
130608.535 02 3.852
130608.535 03 0.000
130608.614 01 1.065
130608.614 02 4.280
130608.615 03 0.000
130608.695 01 1.065
130608.695 02 4.708
130608.695 03 -0.152
130608.775 01 1.065
130608.775 02 4.708
130608.775 03 0.000
130608.855 01 1.065
130608.855 02 4.708
130608.856 03 -0.152
130608.936 01 1.065
130608.936 02 4.280
130608.936 03 0.000
130609.016 01 1.065
130609.016 02 3.852
130609.016 03 -0.152
130609.096 01 1.065
130609.096 02 3.852
130609.096 03 0.000
130609.177 01 1.065
130609.177 02 3.852
130609.177 03 0.000
130609.257 01 1.065
130609.257 02 3.852
130609.257 03 0.000
130609.338 01 1.065
130609.338 02 3.852
130609.338 03 -0.152
130609.418 01 1.065
130609.418 02 3.852
130609.418 03 -0.152
130609.499 01 1.065
130609.499 02 4.280
130609.499 03 0.000
130609.577 01 1.065
130609.578 02 4.708
130609.578 03 0.000
130609.658 01 1.065
130609.658 02 5.136
130609.658 03 0.000
130609.738 01 1.065
130609.738 02 5.564
130609.738 03 0.000
130609.818 01 1.065
130609.819 02 4.708
130609.819 03 -0.152
130609.898 01 1.065
130609.898 02 5.136
130609.898 03 -0.152
130609.978 01 1.065
130609.978 02 3.852
130609.978 03 0.000
130610.058 01 1.065
130610.058 02 3.852
130610.058 03 0.000
130610.138 01 1.065
130610.138 02 3.424
130610.139 03 0.000
130610.219 01 1.065
130610.219 02 3.424
130610.219 03 -0.152
130610.299 01 1.065
