Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082807.368 02 2.140
082807.368 03 -2.128
082807.447 01 1.092
082807.447 02 1.712
082807.447 03 -2.128
082807.528 01 1.089
082807.528 02 2.140
082807.528 03 -2.128
082807.608 01 1.092
082807.608 02 1.712
082807.608 03 -2.128
082807.688 01 1.092
082807.689 02 1.712
082807.689 03 -2.128
082807.769 01 1.092
082807.769 02 1.712
082807.769 03 -2.128
082807.849 01 1.092
082807.849 02 2.568
082807.849 03 -2.128
082807.929 01 1.092
082807.929 02 2.140
082807.929 03 -2.128
082808.009 01 1.089
082808.009 02 2.140
082808.009 03 -2.128
082808.089 01 1.089
082808.089 02 1.712
082808.089 03 -2.128
082808.169 01 1.089
082808.169 02 2.140
082808.169 03 -2.128
082808.249 01 1.089
082808.249 02 2.140
082808.249 03 -2.128
082808.329 01 1.089
082808.329 02 1.712
082808.329 03 -2.128
082808.410 01 1.089
082808.410 02 1.712
082808.410 03 -2.128
082808.489 01 1.089
082808.490 02 2.140
082808.490 03 -2.128
082808.571 01 1.089
082808.571 02 2.140
082808.571 03 -2.128
082808.650 01 1.089
082808.650 02 2.568
082808.650 03 -2.128
082808.729 01 1.092
082808.733 02 1.712
082808.733 03 -2.128
082808.810 01 1.089
082808.810 02 2.140
082808.810 03 -2.128
082808.890 01 1.089
082808.891 02 2.140
082808.891 03 -2.128
082808.970 01 1.092
082808.970 02 2.140
082808.970 03 -2.128
082809.051 01 1.089
082809.051 02 2.996
082809.051 03 -2.128
082809.131 01 1.089
082809.131 02 2.568
082809.131 03 -2.128
082809.211 01 1.089
082809.211 02 2.996
082809.212 03 -2.128
082809.292 01 1.089
082809.292 02 2.140
082809.292 03 -2.128
082809.372 01 1.089
082809.372 02 2.568
082809.372 03 -2.128
082809.452 01 1.092
082809.452 02 2.568
082809.452 03 -2.128
082809.533 01 1.089
082809.533 02 2.140
082809.533 03 -2.128
082809.613 01 1.092
082809.613 02 2.568
082809.613 03 -2.128
082809.693 01 1.089
082809.693 02 2.568
082809.693 03 -2.128
082809.773 01 1.092
082809.773 02 2.568
082809.773 03 -2.128
082809.853 01 1.089
082809.853 02 2.568
082809.853 03 -2.128
082809.933 01 1.089
082809.933 02 2.140
082809.933 03 -2.128
082810.013 01 1.089
082810.013 02 2.568
082810.013 03 -2.128
082810.094 01 1.089
082810.094 02 2.568
082810.094 03 -2.128
082810.174 01 1.089
082810.174 02 2.568
082810.174 03 -2.128
082810.254 01 1.092
082810.254 02 2.568
082810.254 03 -2.128
082810.335 01 1.089
082810.335 02 2.140
082810.335 03 -2.128
082810.415 01 1.089
082810.415 02 2.568
082810.415 03 -2.128
082810.495 01 1.089
082810.495 02 2.996
082810.495 03 -2.128
082810.575 01 1.089
082810.575 02 2.996
082810.575 03 -2.128
082810.655 01 1.089
082810.655 02 2.568
082810.655 03 -2.128
082810.735 01 1.089
082810.735 02 2.568
082810.735 03 -2.128
082810.816 01 1.089
082810.816 02 2.568
082810.816 03 -2.128
082810.896 01 1.089
082810.896 02 2.140
082810.896 03 -2.128
082810.976 01 1.089
082810.976 02 2.140
082810.976 03 -2.128
082811.056 01 1.092
082811.056 02 2.996
082811.056 03 -2.128
082811.136 01 1.089
082811.136 02 2.996
082811.136 03 -2.128
082811.216 01 1.089
082811.216 02 2.568
082811.216 03 -2.128
082811.296 01 1.089
082811.297 02 2.996
082811.297 03 -2.128
082811.375 01 1.089
082811.375 02 2.140
082811.375 03 -2.128
082811.455 01 1.089
082811.455 02 2.996
082811.455 03 -2.128
082811.535 01 1.092
082811.535 02 2.996
082811.536 03 -2.128
082811.615 01 1.089
082811.615 02 2.996
082811.615 03 -2.128
082811.695 01 1.089
082811.696 02 2.996
082811.696 03 -1.976
